Time,Test value 0
2023-01-20 22:47:31.474163,61
2023-01-20 22:47:31.975166,45
2023-01-20 22:47:32.476111,95
2023-01-20 22:47:32.977279,74
2023-01-20 22:47:33.478815,55
2023-01-20 22:47:33.979652,30
2023-01-20 22:47:34.480489,63
2023-01-20 22:47:34.981389,77
2023-01-20 22:47:35.482285,94
2023-01-20 22:47:35.983240,54
2023-01-20 22:47:36.484948,40
2023-01-20 22:47:36.986122,47
2023-01-20 22:47:37.487444,69
2023-01-20 22:47:37.988500,43
2023-01-20 22:47:38.489346,28
2023-01-20 22:47:38.990233,82
2023-01-20 22:47:39.491126,77
2023-01-20 22:47:39.992125,56
2023-01-20 22:47:40.493072,42
2023-01-20 22:47:40.994008,17
2023-01-20 22:47:41.495070,85
2023-01-20 22:47:41.996119,37
2023-01-20 22:47:42.497000,76
2023-01-20 22:47:42.998242,72
2023-01-20 22:47:43.499122,72
2023-01-20 22:47:44.000205,29
2023-01-20 22:47:44.501408,81
2023-01-20 22:47:45.002314,25
2023-01-20 22:47:45.503365,61
2023-01-20 22:47:46.004378,40
2023-01-20 22:47:46.505250,98
2023-01-20 22:47:47.006207,15
2023-01-20 22:47:47.507100,93
2023-01-20 22:47:48.007964,49
2023-01-20 22:47:48.508907,19
2023-01-20 22:47:49.009809,14
2023-01-20 22:47:49.510787,85
2023-01-20 22:47:50.011792,81
2023-01-20 22:47:50.512865,10
2023-01-20 22:47:51.013923,22
2023-01-20 22:47:51.514859,17
2023-01-20 22:47:52.015906,84
2023-01-20 22:47:52.517128,29
2023-01-20 22:47:53.018100,51
2023-01-20 22:47:53.518932,76
2023-01-20 22:47:54.019871,94
2023-01-20 22:47:54.521079,31
2023-01-20 22:47:55.022199,6
2023-01-20 22:47:55.523149,21
2023-01-20 22:47:56.023992,55
2023-01-20 22:47:56.525076,49
2023-01-20 22:47:57.026206,35
2023-01-20 22:47:57.527069,56
2023-01-20 22:47:58.028163,70
2023-01-20 22:47:58.528990,2
2023-01-20 22:47:59.029879,49
2023-01-20 22:47:59.530831,96
2023-01-20 22:48:00.031805,21
2023-01-20 22:48:00.532856,71
2023-01-20 22:48:01.033821,21
2023-01-20 22:48:01.535133,52
2023-01-20 22:48:02.036326,73
2023-01-20 22:48:02.537438,76
2023-01-20 22:48:03.038375,63
2023-01-20 22:48:03.539278,10
2023-01-20 22:48:04.040315,92
2023-01-20 22:48:04.541262,18
2023-01-20 22:48:05.042266,93
2023-01-20 22:48:05.543133,90
2023-01-20 22:48:06.044044,21
2023-01-20 22:48:06.545190,38
2023-01-20 22:48:07.046078,99
2023-01-20 22:48:07.546985,74
2023-01-20 22:48:08.048317,21
2023-01-20 22:48:08.549323,18
2023-01-20 22:48:09.050282,70
2023-01-20 22:48:09.551209,70
2023-01-20 22:48:10.052188,85
2023-01-20 22:48:10.553045,22
2023-01-20 22:48:11.053918,36
2023-01-20 22:48:11.555060,87
2023-01-20 22:48:12.056044,49
2023-01-20 22:48:12.557024,71
2023-01-20 22:48:13.058039,88
2023-01-20 22:48:13.558923,73
2023-01-20 22:48:14.059765,92
2023-01-20 22:48:14.560729,60
2023-01-20 22:48:15.061714,70
2023-01-20 22:48:15.562579,3
2023-01-20 22:48:16.063731,48
2023-01-20 22:48:16.564699,36
2023-01-20 22:48:17.065790,35
2023-01-20 22:48:17.566716,25
2023-01-20 22:48:18.067669,48
2023-01-20 22:48:18.568536,85
2023-01-20 22:48:19.069395,46
2023-01-20 22:48:19.570293,42
2023-01-20 22:48:20.071189,46
2023-01-20 22:48:20.572103,86
2023-01-20 22:48:21.073070,28
2023-01-20 22:48:21.573967,46
2023-01-20 22:48:22.075310,83
2023-01-20 22:48:22.576514,37
2023-01-20 22:48:23.077441,74
2023-01-20 22:48:23.578731,57
2023-01-20 22:48:24.079826,77
2023-01-20 22:48:24.581099,22
2023-01-20 22:48:25.082157,16
2023-01-20 22:48:25.583144,10
2023-01-20 22:48:26.084028,3
2023-01-20 22:48:26.585050,59
2023-01-20 22:48:27.085899,99
2023-01-20 22:48:27.586832,49
2023-01-20 22:48:28.087773,48
2023-01-20 22:48:28.588750,59
2023-01-20 22:48:29.089610,43
2023-01-20 22:48:29.590481,4
2023-01-20 22:48:30.091474,44
2023-01-20 22:48:30.592468,70
2023-01-20 22:48:31.093650,9
2023-01-20 22:48:31.594595,5
2023-01-20 22:48:32.095718,57
2023-01-20 22:48:32.596593,97
2023-01-20 22:48:33.097539,28
2023-01-20 22:48:33.598564,23
2023-01-20 22:48:34.099428,87
2023-01-20 22:48:34.600258,32
2023-01-20 22:48:35.101148,88
2023-01-20 22:48:35.601984,32
2023-01-20 22:48:36.102879,56
2023-01-20 22:48:36.603742,51
2023-01-20 22:48:37.104600,91
2023-01-20 22:48:37.605604,36
2023-01-20 22:48:38.106507,54
2023-01-20 22:48:38.607476,76
2023-01-20 22:48:39.108347,2
2023-01-20 22:48:39.609330,64
2023-01-20 22:48:40.110294,99
2023-01-20 22:48:40.611371,55
2023-01-20 22:48:41.112436,26
2023-01-20 22:48:41.613346,35
2023-01-20 22:48:42.114385,93
2023-01-20 22:48:42.615286,51
2023-01-20 22:48:43.116331,98
2023-01-20 22:48:43.617261,38
2023-01-20 22:48:44.118228,86
2023-01-20 22:48:44.619129,82
2023-01-20 22:48:45.120192,85
2023-01-20 22:48:45.621129,35
2023-01-20 22:48:46.122114,42
2023-01-20 22:48:46.623160,84
2023-01-20 22:48:47.124138,18
2023-01-20 22:48:47.625237,7
2023-01-20 22:48:48.126318,64
2023-01-20 22:48:48.627542,83
2023-01-20 22:48:49.128743,34
2023-01-20 22:48:49.629723,12
2023-01-20 22:48:50.130829,49
2023-01-20 22:48:50.631898,63
2023-01-20 22:48:51.132855,35
2023-01-20 22:48:51.633861,15
2023-01-20 22:48:52.134781,89
2023-01-20 22:48:52.635824,81
2023-01-20 22:48:53.136753,80
2023-01-20 22:48:53.637740,51
2023-01-20 22:48:54.138673,46
2023-01-20 22:48:54.639650,53
2023-01-20 22:48:55.140502,67
2023-01-20 22:48:55.641612,80
2023-01-20 22:48:56.142601,45
2023-01-20 22:48:56.643679,4
2023-01-20 22:48:57.144662,97
2023-01-20 22:48:57.645605,80
2023-01-20 22:48:58.146548,61
2023-01-20 22:48:58.647500,86
2023-01-20 22:48:59.148468,98
2023-01-20 22:48:59.649422,75
2023-01-20 22:49:00.150314,87
2023-01-20 22:49:00.651237,51
2023-01-20 22:49:01.152341,52
2023-01-20 22:49:01.653338,93
2023-01-20 22:49:02.154404,87
2023-01-20 22:49:02.655284,7
2023-01-20 22:49:03.156268,75
2023-01-20 22:49:03.657223,79
2023-01-20 22:49:04.158459,21
2023-01-20 22:49:04.659753,42
2023-01-20 22:49:05.160722,35
2023-01-20 22:49:05.661696,72
2023-01-20 22:49:06.162913,28
2023-01-20 22:49:06.664041,49
2023-01-20 22:49:07.165264,95
2023-01-20 22:49:07.666483,96
2023-01-20 22:49:08.167635,52
2023-01-20 22:49:08.668495,46
2023-01-20 22:49:09.169339,14
2023-01-20 22:49:09.670295,63
2023-01-20 22:49:10.171412,21
2023-01-20 22:49:10.672360,30
2023-01-20 22:49:11.173289,93
2023-01-20 22:49:11.674242,5
2023-01-20 22:49:12.175189,76
2023-01-20 22:49:12.676173,44
2023-01-20 22:49:13.177106,73
2023-01-20 22:49:13.678091,2
2023-01-20 22:49:14.179046,89
2023-01-20 22:49:14.679957,17
2023-01-20 22:49:15.181118,25
2023-01-20 22:49:15.682048,31
2023-01-20 22:49:16.182966,64
2023-01-20 22:49:16.683831,43
2023-01-20 22:49:17.184999,94
2023-01-20 22:49:17.685989,87
2023-01-20 22:49:18.186927,100
2023-01-20 22:49:18.687865,98
2023-01-20 22:49:19.188876,100
2023-01-20 22:49:19.689843,74
2023-01-20 22:49:20.190789,3
2023-01-20 22:49:20.691742,61
2023-01-20 22:49:21.192591,38
2023-01-20 22:49:21.693555,35
2023-01-20 22:49:22.194589,49
2023-01-20 22:49:22.695413,75
2023-01-20 22:49:23.196472,61
2023-01-20 22:49:23.697445,55
2023-01-20 22:49:24.198333,66
2023-01-20 22:49:24.699249,12
2023-01-20 22:49:25.200187,31
2023-01-20 22:49:25.701170,22
2023-01-20 22:49:26.202180,94
2023-01-20 22:49:26.703100,43
2023-01-20 22:49:27.204062,27
2023-01-20 22:49:27.705172,58
2023-01-20 22:49:28.206262,37
2023-01-20 22:49:28.707232,80
2023-01-20 22:49:29.208083,36
2023-01-20 22:49:29.708953,36
2023-01-20 22:49:30.209876,8
2023-01-20 22:49:30.710744,11
2023-01-20 22:49:31.211674,49
2023-01-20 22:49:31.712479,7
2023-01-20 22:49:32.213341,80
2023-01-20 22:49:32.714378,45
2023-01-20 22:49:33.215440,59
2023-01-20 22:49:33.716420,100
2023-01-20 22:49:34.217357,15
2023-01-20 22:49:34.718529,87
2023-01-20 22:49:35.219419,42
2023-01-20 22:49:35.720491,43
2023-01-20 22:49:36.221474,31
2023-01-20 22:49:36.722594,10
2023-01-20 22:49:37.223533,25
2023-01-20 22:49:37.724541,22
2023-01-20 22:49:38.225385,78
2023-01-20 22:49:38.726292,65
2023-01-20 22:49:39.227245,6
2023-01-20 22:49:39.728445,94
2023-01-20 22:49:40.229317,86
2023-01-20 22:49:40.730236,78
2023-01-20 22:49:41.231157,6
2023-01-20 22:49:41.732030,21
2023-01-20 22:49:42.233047,19
2023-01-20 22:49:42.733969,44
2023-01-20 22:49:43.235161,78
2023-01-20 22:49:43.736152,60
2023-01-20 22:49:44.237258,50
2023-01-20 22:49:44.738247,64
2023-01-20 22:49:45.239303,82
2023-01-20 22:49:45.740243,4
2023-01-20 22:49:46.241239,0
2023-01-20 22:49:46.742187,20
2023-01-20 22:49:47.243091,2
2023-01-20 22:49:47.744121,86
2023-01-20 22:49:48.245343,22
2023-01-20 22:49:48.746231,59
2023-01-20 22:49:49.247093,9
2023-01-20 22:49:49.747993,11
2023-01-20 22:49:50.248988,50
2023-01-20 22:49:50.750002,87
2023-01-20 22:49:51.251069,81
2023-01-20 22:49:51.752012,35
2023-01-20 22:49:52.252929,14
2023-01-20 22:49:52.753908,34
2023-01-20 22:49:53.255201,35
2023-01-20 22:49:53.756154,16
2023-01-20 22:49:54.257127,66
2023-01-20 22:49:54.758089,66
2023-01-20 22:49:55.258947,30
2023-01-20 22:49:55.759929,75
2023-01-20 22:49:56.260994,10
2023-01-20 22:49:56.762018,11
2023-01-20 22:49:57.262862,91
2023-01-20 22:49:57.763725,51
2023-01-20 22:49:58.264660,14
2023-01-20 22:49:58.765692,50
2023-01-20 22:49:59.266811,68
2023-01-20 22:49:59.768162,42
2023-01-20 22:50:00.269064,91
2023-01-20 22:50:00.769971,99
2023-01-20 22:50:01.270897,64
2023-01-20 22:50:01.771758,60
2023-01-20 22:50:02.272692,84
2023-01-20 22:50:02.773597,74
2023-01-20 22:50:03.274523,1
2023-01-20 22:50:03.775488,86
2023-01-20 22:50:04.276412,63
2023-01-20 22:50:04.777311,92
2023-01-20 22:50:05.278204,94
2023-01-20 22:50:05.779210,11
2023-01-20 22:50:06.280224,14
2023-01-20 22:50:06.781170,69
2023-01-20 22:50:07.282328,17
2023-01-20 22:50:07.783304,41
2023-01-20 22:50:08.284371,15
2023-01-20 22:50:08.785233,14
2023-01-20 22:50:09.286318,11
2023-01-20 22:50:09.787216,21
2023-01-20 22:50:10.288181,45
2023-01-20 22:50:10.789206,67
2023-01-20 22:50:11.290117,42
2023-01-20 22:50:11.791037,29
2023-01-20 22:50:12.291986,28
2023-01-20 22:50:12.792921,23
2023-01-20 22:50:13.293893,55
2023-01-20 22:50:13.794735,52
2023-01-20 22:50:14.295576,62
2023-01-20 22:50:14.796467,51
2023-01-20 22:50:15.297374,76
2023-01-20 22:50:15.798592,74
2023-01-20 22:50:16.299543,2
2023-01-20 22:50:16.800429,44
2023-01-20 22:50:17.301468,56
2023-01-20 22:50:17.802428,96
2023-01-20 22:50:18.303349,70
2023-01-20 22:50:18.804212,25
2023-01-20 22:50:19.305139,14
2023-01-20 22:50:19.806260,15
2023-01-20 22:50:20.307317,27
2023-01-20 22:50:20.808175,2
2023-01-20 22:50:21.308994,77
2023-01-20 22:50:21.809809,23
2023-01-20 22:50:22.310688,17
2023-01-20 22:50:22.811666,23
2023-01-20 22:50:23.312747,41
2023-01-20 22:50:23.813599,21
2023-01-20 22:50:24.314754,82
2023-01-20 22:50:24.815742,71
2023-01-20 22:50:25.316870,10
2023-01-20 22:50:25.818049,12
2023-01-20 22:50:26.319072,88
2023-01-20 22:50:26.819993,72
2023-01-20 22:50:27.321017,35
2023-01-20 22:50:27.822031,94
2023-01-20 22:50:28.323042,97
2023-01-20 22:50:28.824067,51
2023-01-20 22:50:29.325011,10
2023-01-20 22:50:29.825960,46
2023-01-20 22:50:30.327029,63
2023-01-20 22:50:30.827900,10
2023-01-20 22:50:31.328936,23
2023-01-20 22:50:31.829974,41
2023-01-20 22:50:32.330913,96
2023-01-20 22:50:32.831845,17
2023-01-20 22:50:33.332809,63
2023-01-20 22:50:33.833736,82
2023-01-20 22:50:34.334766,38
2023-01-20 22:50:34.835660,91
2023-01-20 22:50:35.336564,3
2023-01-20 22:50:35.837493,1
2023-01-20 22:50:36.338489,90
2023-01-20 22:50:36.839532,45
2023-01-20 22:50:37.340539,18
2023-01-20 22:50:37.841441,61
2023-01-20 22:50:38.342354,17
2023-01-20 22:50:38.843205,76
2023-01-20 22:50:39.344272,48
2023-01-20 22:50:39.845668,6
2023-01-20 22:50:40.346690,73
2023-01-20 22:50:40.847608,92
2023-01-20 22:50:41.348620,69
2023-01-20 22:50:41.849571,38
2023-01-20 22:50:42.350496,3
2023-01-20 22:50:42.851628,78
2023-01-20 22:50:43.352677,27
2023-01-20 22:50:43.853615,93
2023-01-20 22:50:44.354447,54
2023-01-20 22:50:44.855423,76
2023-01-20 22:50:45.356452,94
2023-01-20 22:50:45.857670,93
2023-01-20 22:50:46.358624,49
2023-01-20 22:50:46.859651,75
2023-01-20 22:50:47.360520,48
2023-01-20 22:50:47.861494,75
2023-01-20 22:50:48.362428,2
2023-01-20 22:50:48.863392,51
2023-01-20 22:50:49.364256,47
2023-01-20 22:50:49.865191,34
2023-01-20 22:50:50.366223,0
2023-01-20 22:50:50.867222,88
2023-01-20 22:50:51.368256,44
2023-01-20 22:50:51.869193,76
2023-01-20 22:50:52.370436,29
2023-01-20 22:50:52.871435,33
2023-01-20 22:50:53.372600,90
2023-01-20 22:50:53.873514,24
2023-01-20 22:50:54.374415,86
2023-01-20 22:50:54.875395,86
2023-01-20 22:50:55.376792,58
2023-01-20 22:50:55.877861,56
2023-01-20 22:50:56.378864,12
2023-01-20 22:50:56.879785,14
2023-01-20 22:50:57.380642,19
2023-01-20 22:50:57.881513,89
2023-01-20 22:50:58.382626,76
2023-01-20 22:50:58.883669,18
2023-01-20 22:50:59.384656,92
2023-01-20 22:50:59.885683,55
2023-01-20 22:51:00.386626,10
2023-01-20 22:51:00.887575,75
2023-01-20 22:51:01.388516,83
2023-01-20 22:51:01.889487,81
2023-01-20 22:51:02.390454,34
2023-01-20 22:51:02.891434,73
2023-01-20 22:51:03.392478,13
2023-01-20 22:51:03.893457,99
2023-01-20 22:51:04.394480,38
2023-01-20 22:51:04.895572,84
2023-01-20 22:51:05.396570,56
2023-01-20 22:51:05.897481,77
2023-01-20 22:51:06.398435,38
2023-01-20 22:51:06.899349,64
2023-01-20 22:51:07.400190,3
2023-01-20 22:51:07.901094,86
2023-01-20 22:51:08.402135,78
2023-01-20 22:51:08.903122,78
2023-01-20 22:51:09.404079,28
2023-01-20 22:51:09.905141,22
2023-01-20 22:51:10.406110,1
2023-01-20 22:51:10.907111,44
2023-01-20 22:51:11.407956,45
2023-01-20 22:51:11.909026,8
2023-01-20 22:51:12.409919,99
2023-01-20 22:51:12.910985,97
2023-01-20 22:51:13.412161,97
2023-01-20 22:51:13.913191,52
2023-01-20 22:51:14.413980,56
2023-01-20 22:51:14.914933,49
2023-01-20 22:51:15.415865,9
2023-01-20 22:51:15.916813,70
2023-01-20 22:51:16.417730,25
2023-01-20 22:51:16.918754,3
2023-01-20 22:51:17.419715,93
2023-01-20 22:51:17.920675,86
2023-01-20 22:51:18.421710,19
2023-01-20 22:51:18.922780,64
2023-01-20 22:51:19.423802,13
2023-01-20 22:51:19.925072,6
2023-01-20 22:51:20.426056,88
2023-01-20 22:51:20.927139,31
2023-01-20 22:51:21.428207,8
2023-01-20 22:51:21.929138,2
2023-01-20 22:51:22.430246,89
2023-01-20 22:51:22.931169,55
2023-01-20 22:51:23.432069,1
2023-01-20 22:51:23.933022,66
2023-01-20 22:51:24.434025,84
2023-01-20 22:51:24.934860,99
2023-01-20 22:51:25.435660,43
2023-01-20 22:51:25.936571,100
2023-01-20 22:51:26.437554,46
2023-01-20 22:51:26.938702,62
2023-01-20 22:51:27.439752,63
2023-01-20 22:51:27.940757,44
2023-01-20 22:51:28.441641,45
2023-01-20 22:51:28.942577,77
2023-01-20 22:51:29.443562,86
2023-01-20 22:51:29.944536,2
2023-01-20 22:51:30.445577,92
2023-01-20 22:51:30.946485,9
2023-01-20 22:51:31.447430,94
2023-01-20 22:51:31.948366,94
2023-01-20 22:51:32.449321,17
2023-01-20 22:51:32.950334,20
2023-01-20 22:51:33.451347,43
2023-01-20 22:51:33.952287,59
2023-01-20 22:51:34.453213,40
2023-01-20 22:51:34.954221,14
2023-01-20 22:51:35.455385,97
2023-01-20 22:51:35.956520,8
2023-01-20 22:51:36.457447,80
2023-01-20 22:51:36.958286,25
2023-01-20 22:51:37.459188,12
2023-01-20 22:51:37.960059,61
2023-01-20 22:51:38.460964,50
2023-01-20 22:51:38.961823,63
2023-01-20 22:51:39.462826,6
2023-01-20 22:51:39.963920,85
2023-01-20 22:51:40.464802,98
2023-01-20 22:51:40.965854,8
2023-01-20 22:51:41.466763,99
2023-01-20 22:51:41.967771,76
2023-01-20 22:51:42.468675,36
2023-01-20 22:51:42.969732,68
2023-01-20 22:51:43.470608,13
2023-01-20 22:51:43.971561,44
2023-01-20 22:51:44.472537,54
2023-01-20 22:51:44.973385,96
2023-01-20 22:51:45.474354,43
2023-01-20 22:51:45.976369,75
2023-01-20 22:51:46.477256,73
2023-01-20 22:51:46.977653,69
2023-01-20 22:51:47.478641,34
2023-01-20 22:51:47.979601,34
2023-01-20 22:51:48.480562,22
2023-01-20 22:51:48.981553,21
2023-01-20 22:51:49.482400,50
2023-01-20 22:51:49.983370,90
2023-01-20 22:51:50.484297,46
2023-01-20 22:51:50.985391,46
2023-01-20 22:51:51.486605,87
2023-01-20 22:51:51.987705,11
2023-01-20 22:51:52.488613,89
2023-01-20 22:51:52.989487,23
2023-01-20 22:51:53.490376,56
2023-01-20 22:51:53.991382,95
2023-01-20 22:51:54.492349,81
2023-01-20 22:51:54.993260,39
2023-01-20 22:51:55.494245,68
2023-01-20 22:51:55.995103,34
2023-01-20 22:51:56.495988,1
2023-01-20 22:51:56.996843,27
2023-01-20 22:51:57.497731,9
2023-01-20 22:51:57.998561,42
2023-01-20 22:51:58.499469,88
2023-01-20 22:51:59.000455,49
2023-01-20 22:51:59.501456,25
2023-01-20 22:52:00.002334,72
2023-01-20 22:52:00.503854,92
2023-01-20 22:52:01.004865,13
2023-01-20 22:52:01.505744,11
2023-01-20 22:52:02.006790,36
2023-01-20 22:52:02.507692,61
2023-01-20 22:52:03.008681,20
2023-01-20 22:52:03.509556,77
2023-01-20 22:52:04.010457,27
2023-01-20 22:52:04.511525,9
2023-01-20 22:52:05.012534,9
2023-01-20 22:52:05.513606,5
2023-01-20 22:52:06.014551,17
2023-01-20 22:52:06.515633,6
2023-01-20 22:52:07.016697,29
2023-01-20 22:52:07.517858,67
2023-01-20 22:52:08.018989,77
2023-01-20 22:52:08.519847,14
2023-01-20 22:52:09.020773,33
2023-01-20 22:52:09.521638,67
2023-01-20 22:52:10.022484,80
2023-01-20 22:52:10.523359,80
2023-01-20 22:52:11.024313,75
2023-01-20 22:52:11.525225,92
2023-01-20 22:52:12.026154,64
2023-01-20 22:52:12.527022,94
2023-01-20 22:52:13.027900,92
2023-01-20 22:52:13.528824,36
2023-01-20 22:52:14.029696,27
2023-01-20 22:52:14.530697,44
2023-01-20 22:52:15.031606,28
2023-01-20 22:52:15.532652,78
2023-01-20 22:52:16.033749,90
2023-01-20 22:52:16.534606,41
2023-01-20 22:52:17.035639,4
2023-01-20 22:52:17.536708,57
2023-01-20 22:52:18.037668,88
2023-01-20 22:52:18.538605,14
2023-01-20 22:52:19.039486,87
2023-01-20 22:52:19.540362,73
2023-01-20 22:52:20.041465,6
2023-01-20 22:52:20.542643,56
2023-01-20 22:52:21.043707,63
2023-01-20 22:52:21.544784,24
2023-01-20 22:52:22.045767,80
2023-01-20 22:52:22.546792,53
2023-01-20 22:52:23.047889,88
2023-01-20 22:52:23.549003,1
2023-01-20 22:52:24.050009,98
2023-01-20 22:52:24.550931,37
2023-01-20 22:52:25.051931,2
2023-01-20 22:52:25.552786,69
2023-01-20 22:52:26.053683,49
2023-01-20 22:52:26.554668,97
2023-01-20 22:52:27.055665,66
2023-01-20 22:52:27.556616,11
2023-01-20 22:52:28.057544,25
2023-01-20 22:52:28.558496,42
2023-01-20 22:52:29.059417,11
2023-01-20 22:52:29.560245,27
2023-01-20 22:52:30.061121,50
2023-01-20 22:52:30.562054,27
2023-01-20 22:52:31.063069,93
2023-01-20 22:52:31.564275,29
2023-01-20 22:52:32.065677,64
2023-01-20 22:52:32.566627,89
2023-01-20 22:52:33.067809,20
2023-01-20 22:52:33.568676,2
2023-01-20 22:52:34.069600,78
2023-01-20 22:52:34.570485,8
2023-01-20 22:52:35.071347,9
2023-01-20 22:52:35.572429,9
2023-01-20 22:52:36.073499,40
2023-01-20 22:52:36.574345,86
2023-01-20 22:52:37.075294,43
2023-01-20 22:52:37.576180,90
2023-01-20 22:52:38.077132,65
2023-01-20 22:52:38.577998,82
2023-01-20 22:52:39.079046,66
2023-01-20 22:52:39.580274,60
2023-01-20 22:52:40.081164,23
2023-01-20 22:52:40.582189,63
2023-01-20 22:52:41.083071,82
2023-01-20 22:52:41.584035,40
2023-01-20 22:52:42.085149,74
2023-01-20 22:52:42.586364,85
2023-01-20 22:52:43.087738,51
2023-01-20 22:52:43.588854,21
2023-01-20 22:52:44.090087,68
2023-01-20 22:52:44.591764,50
2023-01-20 22:52:45.093109,26
2023-01-20 22:52:45.594355,15
2023-01-20 22:52:46.095532,69
2023-01-20 22:52:46.596625,81
2023-01-20 22:52:53.123361,34
